Date,Habit,Status
2024-01-28,Exercise,Skipped
2024-01-06,Exercise,Exceeded
2024-07-16,Meditation,Partial
2024-01-25,Water Intake,Exceeded
2024-03-14,Exercise,Exceeded
2024-04-26,Journaling,Skipped
2024-07-28,Reading,Completed
2024-10-01,Water Intake,Exceeded
2024-01-02,Reading,Completed
2024-02-17,Water Intake,Partial
2024-02-01,Reading,Skipped
2024-01-20,Journaling,Completed
2024-10-26,Reading,Exceeded
2024-05-08,Journaling,Partial
2024-10-29,Meditation,Skipped
2024-07-19,Water Intake,Partial
2024-10-29,Meditation,Exceeded
2024-06-22,Meditation,Exceeded
2024-09-24,Meditation,Skipped
2024-06-13,Water Intake,Partial
2024-09-19,Water Intake,Skipped
2024-04-13,Water Intake,Completed
2024-05-02,Meditation,Exceeded
2024-05-03,Reading,Skipped
2024-10-10,Meditation,Skipped
2024-02-14,Water Intake,Skipped
2024-10-15,Journaling,Completed
2024-10-07,Reading,Partial
2024-12-29,Water Intake,Exceeded
2024-07-12,Water Intake,Partial
2024-03-10,Journaling,Completed
2024-09-15,Water Intake,Skipped
2024-04-14,Water Intake,Completed
2024-02-25,Reading,Partial
2024-08-17,Water Intake,Skipped
2024-05-09,Water Intake,Partial
2024-11-19,Meditation,Completed
2024-07-13,Exercise,Completed
2024-05-11,Water Intake,Exceeded
2024-08-06,Journaling,Completed
2024-05-10,Water Intake,Partial
2024-07-22,Meditation,Partial
2024-03-23,Journaling,Exceeded
2024-08-26,Water Intake,Partial
2024-03-04,Water Intake,Skipped
2024-05-27,Meditation,Completed
2024-04-20,Meditation,Skipped
2024-09-03,Reading,Exceeded
2024-05-23,Meditation,Partial
2024-06-06,Journaling,Exceeded
2024-06-18,Water Intake,Completed
2024-08-01,Meditation,Completed
2024-06-09,Meditation,Exceeded
2024-07-25,Journaling,Completed
2024-08-24,Reading,Skipped
2024-05-27,Water Intake,Exceeded
2024-07-11,Exercise,Partial
2024-07-20,Reading,Skipped
2024-05-05,Exercise,Completed
2024-01-07,Water Intake,Skipped
2024-07-14,Meditation,Exceeded
2024-06-13,Reading,Skipped
2024-04-24,Water Intake,Exceeded
2024-02-23,Journaling,Exceeded
2024-10-11,Exercise,Exceeded
2024-04-30,Journaling,Exceeded
2024-03-19,Meditation,Completed
2024-12-23,Water Intake,Exceeded
2024-10-16,Journaling,Completed
2024-07-05,Water Intake,Completed
2024-07-14,Meditation,Exceeded
2024-07-19,Journaling,Partial
2024-03-09,Reading,Exceeded
2024-04-16,Water Intake,Partial
2024-04-06,Journaling,Skipped
2024-10-13,Reading,Partial
2024-08-01,Reading,Skipped
2024-01-13,Reading,Partial
2024-10-20,Reading,Exceeded
2024-07-20,Exercise,Partial
2024-11-03,Exercise,Completed
2024-05-11,Exercise,Exceeded
2024-03-14,Exercise,Partial
2024-09-23,Water Intake,Skipped
2024-09-16,Reading,Skipped
2024-12-25,Meditation,Skipped
2024-07-21,Reading,Partial
2024-06-26,Exercise,Exceeded
2024-07-12,Meditation,Completed
2024-06-23,Exercise,Completed
2024-04-10,Water Intake,Skipped
2024-08-24,Reading,Partial
2024-06-08,Reading,Skipped
2024-03-15,Reading,Exceeded
2024-12-23,Water Intake,Partial
2024-12-30,Water Intake,Partial
2024-11-30,Exercise,Partial
2024-07-09,Exercise,Partial
2024-08-16,Reading,Skipped
2024-03-04,Water Intake,Partial
2024-07-04,Reading,Partial
2024-05-03,Water Intake,Skipped
2024-03-23,Meditation,Completed
2024-04-24,Water Intake,Skipped
2024-07-14,Exercise,Exceeded
2024-05-28,Reading,Completed
2024-03-03,Journaling,Partial
2024-01-12,Journaling,Completed
2024-01-30,Journaling,Skipped
2024-02-14,Reading,Completed
2024-05-20,Meditation,Exceeded
2024-02-09,Meditation,Completed
2024-03-01,Exercise,Skipped
2024-04-04,Reading,Exceeded
2024-03-16,Reading,Completed
2024-09-29,Water Intake,Exceeded
2024-07-16,Meditation,Partial
2024-02-13,Water Intake,Completed
2024-04-15,Water Intake,Skipped
2024-05-15,Exercise,Partial
2024-09-08,Water Intake,Skipped
2024-07-09,Meditation,Skipped
2024-06-17,Exercise,Partial
2024-07-07,Journaling,Skipped
2024-03-08,Journaling,Skipped
2024-08-05,Meditation,Skipped
2024-12-06,Reading,Completed
2024-03-08,Meditation,Completed
2024-08-24,Meditation,Completed
2024-10-20,Water Intake,Partial
2024-04-05,Exercise,Skipped
2024-08-03,Journaling,Partial
2024-09-08,Meditation,Completed
2024-04-28,Exercise,Completed
2024-07-01,Journaling,Skipped
2024-06-25,Exercise,Completed
2024-04-30,Reading,Completed
2024-10-26,Exercise,Exceeded
2024-02-16,Meditation,Skipped
2024-09-08,Water Intake,Exceeded
2024-06-21,Meditation,Completed
